
fleet winners (net pnl >= $5): 18
  Chaton           $ +248.21  7kkQU6AhUadtoszttEKprirvpgBihJHPoHVczebvi7i3
  WELLTH           $ +116.39  J3pjYP2D3KK2rBRqys6D2WP3ZMdQiyN4MSs93Uc4pump
  drooling         $ +103.16  7DivLxFHvpzW5i9Dd1wd7UZmVAVGv6dkeL3JaxTDpump
  JAMESON          $  +95.30  H9L9apxE8RREZZgTaNLmGeUfCYJQfHBwQxuXzvPNpump
  FRAG             $  +91.59  J4Y92jy5Lr9ho1aV41bhguytnzBbsPhZJahmaVszpump
  XP               $  +71.20  9spN3Lrz4tnFXaXfR9QzKdiMd2hE4AUbAJntui21pump
  BOB              $  +68.80  7DWRAaAecR2bhPRUjg7VN6XqoXpRYCRqsq7W6t2Vpump
  ZERO             $  +42.19  EmcxFTNVDqyLHp11NvwvLZ4D7LKGbG9i7B8RF7dwpump
  TURTLE           $  +31.05  2dJniDEAGCG7zWKseCkyrML3W23WLjDf1CGxpNv3pump
  Jameson          $  +28.42  2TqdkbSjzkpKW8rDNKGPiDBkYAxtga4cCzY6WK4Wpump
  Chaton           $  +25.04  5WrhAdqrtaBqzjoPEQ4bVkukQGCmR9mrcKeeifCKpump
  UATF             $  +23.48  2JXnRgA9fLDUBtvKdppiiuTA2QfvS1bKzmAmQX1pUATF
  Peace            $  +22.26  atVjZ7uM8sVrLFi5Xe1JiLGW6mW9pvQdTCWzhNFpump
  MANLET           $  +15.86  FamUNkepHXkVxjWHeMSpJmD4xVhCSyNnUG9GVsdmR2xQ
  BRIM             $  +13.80  9smMJxtru37j29w7pfcQZfpKXdsUohuDXqHFaLJcpump
  Islands          $   +8.98  yoA2CoHk6HRNtFuTP1kVt5xkcvG7mr5raQ5zuNxpump
  ARENA            $   +6.99  Ddrae7atujkL2Np8myWgMF2LBU1E4ewRVQ3cwpAJpump
  COZY             $   +5.61  3SkiyPUMD5KT6SfTKqJC5pEkYfrs68THth2HCvp9pump

(resolved 18/18 winner pools)

=== makers EARLY on >=1 distinct FLEET-WINNER tokens: 125 ===
wallet                                          wins    early$  flags
  hnu5iBK8UoHb51UFsH1RYTUAYdrhjHvV5YMTf9T1CYN      2   $     536  NEW
  AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51     2   $     464  NEW
  13VK7ZrRrx1uZ4Frm2TjacNsbipun21qqifE8wibPVys     2   $     269  NEW
  EYvwg12vXcUN7pF1fASQZZgQ9RbVUMLjKqqCfi961ptw     2   $      97  NEW
  gasTzr94Pmp4Gf8vknQnqxeYxdgwFjbgdJa4msYRpnB      2   $      78  NEW
  2tgUbS9UMoQD6GkDZBiqKYCURnGrSb6ocYwRABrSJUvY     2   $      63  NEW
  HZWRMUrfp1AZT3zTSuD8znGKmvAuyTeLki72FtiqZrCx     1   $    1137  NEW
  Hn6m92deJDhiUVAUassMurJBPfn6Xjj1fRtEj3omXVka     1   $     575  NEW
  5NbmLh6KTLvaZmh13cVCSmGBwrUn8KFuGdNgZnxJaWks     1   $     554  NEW
  CSH8DjG7sC5MEfQDVTCtsQriPXJzAf5MS866hnsca9bw     1   $     422  NEW
  7kbE2Th6shvHXKhPxCavJ2mN2FmKYM29jkrpGYhXUFMW     1   $     391  NEW
  DH7UgKyjzWW6Jg1FZDkYTxyjpbyPXaR9DkDqGXyc2sg      1   $     371  NEW
  Ha8tkzgh1cPpmoCEb79QvjcGjMGpoEjypD1APvZeCd9q     1   $     358  NEW
  8wtkaYZHocTHnKX1hCdu9Mwt9jCTQn3DPoZjdJSSHyFS     1   $     324  NEW
  8DNCyg6MgqXW5mqAeCDsjRxULAs4sLAtGBLfEUYWsMxT     1   $     291  NEW
  popo3Rj6arKNttyUFpWfbkv2gG8uS13TGtmH6JPMuHz      1   $     265  NEW
  5tJQ3dfsMR5cK9tcqJxtyZQqN5ragQCsWSJ8J64Ef78F     1   $     216  NEW
  6jxywQRBWmtJNUi1qJPeEyyuv134nZSx4eg4uBLbJZft     1   $     206  NEW
  BSHdFzWq6BfXpTx49LcCuvF4FVZakEZTibkKgjBcJqLD     1   $     194  NEW
