runners (peak>=25%): 30
  BOLEX      peak=403% buys=40 window=16
  ALONE      peak=173% buys=11 window=4
  $CATWIF    peak=157% buys=51 window=20
  Bepe       peak=155% buys=33 window=13
  BOO        peak=139% buys=9 window=3
  world      peak=122% buys=28 window=11
  Terra      peak=115% buys=3 window=1
  HODLY      peak=113% buys=9 window=3
  piss       peak=110% buys=22 window=8
  𝕏GIFT      peak=105% buys=3 window=1
  MOXIE      peak=100% buys=2 window=1
  SolEra     peak=100% buys=7 window=2
  CAFE       peak=93% buys=3 window=1
  FRONT      peak=91% buys=30 window=12
  SOL        peak=87% buys=9 window=3
  ALCHI      peak=85% buys=0 window=1
  FISSION    peak=82% buys=16 window=6
  SOL        peak=78% buys=16 window=6
  GPT-5.6    peak=71% buys=13 window=5
  star       peak=69% buys=10 window=4
  MASTERCOIN peak=69% buys=16 window=6
  liquititty peak=67% buys=15 window=6
  Banana     peak=58% buys=2 window=1
  VOICEBOX   peak=57% buys=22 window=8
  $OVER      peak=54% buys=1 window=1
  gato       peak=50% buys=27 window=10
  TBLK       peak=49% buys=3 window=1
  HOOD       peak=49% buys=0 window=1
  Pumpbot    peak=49% buys=2 window=1
  SOLAND     peak=46% buys=1 window=1
