pairs processed: 1160, usable labeled: 698 (monster=153, regular=545)
rob CASHCOW      gain= 4563.7 skip     t5=07-10 19:14 nD=- cov=- why=window outside tape
rob ilysm        gain= 2892.0 skip     t5=07-10 08:34 nD=- cov=- why=window outside tape
sol TOLY         gain= 1450.2 monster  t5=07-05 06:27 nD=154 cov=1.0 why=
rob RWA          gain= 1280.8 skip     t5=07-10 09:27 nD=- cov=- why=window outside tape
rob SongJiang    gain=  925.1 skip     t5=07-10 08:46 nD=- cov=- why=window outside tape
rob RANGER       gain=  924.9 skip     t5=07-10 17:43 nD=- cov=- why=window outside tape
rob THROBBIN     gain=  813.6 monster  t5=07-10 18:16 nD=14 cov=0.16 why=
rob ilysm        gain=  710.0 skip     t5=07-10 08:45 nD=- cov=- why=window outside tape
rob HOODBOY      gain=  579.2 monster  t5=07-10 19:57 nD=131 cov=0.19 why=
sol SEMAN        gain=  573.4 monster  t5=07-03 14:38 nD=98 cov=0.08 why=
sol 公牛           gain=  522.1 monster  t5=07-05 18:56 nD=100 cov=0.1 why=
rob SNAT         gain=  510.7 monster  t5=07-10 17:59 nD=1 cov=- why=
sol TMB          gain=  430.3 monster  t5=07-03 10:22 nD=0 cov=- why=
sol LojakPaul    gain=  361.4 monster  t5=07-02 17:00 nD=83 cov=0.28 why=
sol BLACKOUT     gain=  359.9 monster  t5=07-05 16:43 nD=49 cov=0.09 why=
rob THROBBIN     gain=  318.9 skip     t5=07-10 17:24 nD=- cov=- why=window outside tape
sol BABYANSEM    gain=  308.3 monster  t5=07-04 04:27 nD=0 cov=- why=
rob THROBBIN     gain=  243.8 monster  t5=07-10 18:01 nD=5 cov=- why=
sol ANSUM        gain=  233.0 monster  t5=07-04 08:23 nD=0 cov=- why=
rob KITTY        gain=  220.1 monster  t5=07-10 18:35 nD=28 cov=0.14 why=
rob RANGER       gain=  215.5 monster  t5=07-10 19:48 nD=15 cov=0.03 why=
sol COBRA        gain=  214.8 monster  t5=07-05 08:12 nD=139 cov=0.87 why=
rob ROBINHOOD    gain=  212.8 monster  t5=07-10 09:17 nD=604 cov=1.11 why=
sol 0x           gain=  209.7 monster  t5=07-05 18:09 nD=51 cov=0.04 why=
sol SEMAN        gain=  203.2 monster  t5=07-03 16:38 nD=0 cov=- why=
rob ROBINHOOD    gain=  184.2 skip     t5=07-10 08:50 nD=- cov=- why=window outside tape
sol BLACKOUT     gain=  179.5 monster  t5=07-05 18:44 nD=100 cov=0.24 why=
sol BABYANSEM    gain=  176.2 monster  t5=07-05 15:28 nD=0 cov=- why=
sol ANSUM        gain=  175.6 monster  t5=07-05 04:53 nD=54 cov=1.0 why=
sol LojakPaul    gain=  174.5 monster  t5=07-02 15:32 nD=98 cov=0.33 why=
sol 公牛           gain=  174.0 monster  t5=07-05 22:53 nD=100 cov=0.03 why=
rob ROBINHULK    gain=  172.6 monster  t5=07-10 09:29 nD=454 cov=1.06 why=
sol 公牛           gain=  167.9 monster  t5=07-06 06:39 nD=0 cov=- why=
rob ROBINHOOD    gain=  161.5 monster  t5=07-10 09:06 nD=266 cov=0.77 why=
rob ilysm        gain=  160.5 monster  t5=07-10 08:54 nD=779 cov=1.38 why=
sol LojakPaul    gain=  159.7 monster  t5=07-04 09:58 nD=0 cov=- why=
sol 公牛           gain=  158.6 monster  t5=07-06 02:29 nD=100 cov=0.09 why=
rob HOODBOY      gain=  157.0 skip     t5=07-10 19:50 nD=- cov=- why=window outside tape
sol TOLY         gain=  155.6 monster  t5=07-06 13:52 nD=38 cov=0.04 why=
sol BullWorld    gain=  154.9 monster  t5=07-05 13:12 nD=108 cov=0.46 why=
sol COBRA        gain=  147.6 monster  t5=07-05 10:26 nD=100 cov=0.29 why=
rob KITTY        gain=  146.7 monster  t5=07-10 18:58 nD=27 cov=0.25 why=
rob CASHBANK     gain=  137.4 monster  t5=07-10 20:02 nD=10 cov=0.04 why=
rob wobin        gain=  135.5 skip     t5=07-10 08:49 nD=- cov=- why=window outside tape
rob RANGER       gain=  135.5 monster  t5=07-10 17:57 nD=68 cov=0.04 why=
sol LojakPaul    gain=  134.9 monster  t5=07-03 10:37 nD=0 cov=- why=
rob ROBINHULK    gain=  134.3 skip     t5=07-10 09:12 nD=- cov=- why=window outside tape
sol LojakPaul    gain=  131.9 monster  t5=07-04 04:44 nD=0 cov=- why=
sol SEMAN        gain=  129.0 monster  t5=07-05 23:09 nD=0 cov=- why=
sol SEMAN        gain=  128.8 monster  t5=07-06 05:21 nD=0 cov=- why=
rob CASHBANK     gain=  128.7 skip     t5=07-10 19:50 nD=- cov=- why=window outside tape
rob RANGER       gain=  128.7 monster  t5=07-10 18:13 nD=25 cov=0.06 why=
sol BullWorld    gain=  128.4 monster  t5=07-05 05:35 nD=53 cov=0.07 why=
sol BullWorld    gain=  128.0 monster  t5=07-05 05:31 nD=100 cov=0.03 why=
sol ELIZABETH    gain=  128.0 monster  t5=07-05 12:37 nD=110 cov=0.6 why=
sol LojakPaul    gain=  127.3 monster  t5=07-03 13:03 nD=0 cov=- why=
sol ANSUM        gain=  124.5 skip     t5=07-03 20:31 nD=- cov=- why=window outside tape
sol Bullmerica25 gain=  123.3 monster  t5=07-05 05:58 nD=100 cov=0.1 why=
rob KITTY        gain=  122.0 monster  t5=07-10 19:36 nD=20 cov=0.22 why=
sol BABYANSEM    gain=  121.6 monster  t5=07-03 15:07 nD=99 cov=0.2 why=
sol BullWorld    gain=  120.6 monster  t5=07-05 10:11 nD=96 cov=0.31 why=
sol ANSUM        gain=  119.4 monster  t5=07-03 22:42 nD=98 cov=0.16 why=
sol BLACKOUT     gain=  119.1 monster  t5=07-05 18:06 nD=69 cov=0.15 why=
sol BABYANSEM    gain=  117.4 monster  t5=07-03 18:08 nD=0 cov=- why=
sol 公牛           gain=  117.3 monster  t5=07-06 14:50 nD=32 cov=1.0 why=
rob THROBBIN     gain=  113.5 monster  t5=07-10 19:54 nD=19 cov=0.1 why=
sol SEMAN        gain=  112.9 monster  t5=07-03 15:41 nD=100 cov=0.12 why=
rob CASHCOW      gain=  112.5 skip     t5=07-10 19:12 nD=- cov=- why=window outside tape
sol ANSUM        gain=  108.5 monster  t5=07-05 13:21 nD=0 cov=- why=
sol ACM          gain=  106.5 monster  t5=07-05 13:08 nD=89 cov=1.0 why=
rob ROBINHOOD    gain=  105.8 skip     t5=07-10 09:12 nD=- cov=- why=window outside tape
sol 公牛           gain=  105.7 monster  t5=07-06 13:03 nD=0 cov=- why=
sol frog         gain=  105.5 monster  t5=07-05 23:03 nD=105 cov=1.0 why=
sol BullWorld    gain=  104.1 skip     t5=07-05 04:59 nD=- cov=- why=window outside tape
sol BullWorld    gain=  101.7 monster  t5=07-05 05:13 nD=97 cov=0.07 why=
rob THROBBIN     gain=   99.3 monster  t5=07-10 20:26 nD=1 cov=- why=
